UID,Year,CropCode,pctcov
180429,2015,61,0.91
180429,2016,24,0.911
180429,2017,1,0.906
180429,2018,61,0.873
180429,2019,24,0.842
180429,2020,1,0.836
180655,2006,1,0.853
180655,2007,1,0.866
180655,2008,24,0.71
180655,2009,1,0.958
180655,2010,1,0.99
180655,2011,24,0.933
180655,2012,1,0.973
180655,2013,24,0.976
180655,2014,1,0.96
180655,2015,24,0.971
180655,2016,4,0.96
180655,2017,61,0.901
180655,2018,24,0.985
180655,2019,1,0.972
180655,2020,24,0.961
180689,2006,24,0.61
180689,2007,1,0.762
180689,2008,1,0.841
180689,2009,61,0.808
180689,2010,24,0.82
180689,2011,1,0.901
180689,2012,61,0.732
180689,2013,24,0.907
180689,2014,1,0.888
180689,2015,61,0.88
180689,2016,24,0.882
180689,2017,1,0.848
180689,2018,61,0.845
180689,2019,24,0.866
180689,2020,1,0.893
180738,2006,1,0.882
180738,2007,61,0.904
180738,2008,24,0.927
180738,2009,24,0.902
180738,2010,1,0.939
180738,2011,61,0.899
180738,2012,24,0.922
180738,2013,1,0.933
180738,2014,61,0.89
180738,2015,24,0.929
180738,2016,4,0.46
180738,2017,61,0.48
180738,2018,24,0.49
180738,2019,1,0.455
180738,2020,61,0.509
180778,2006,24,0.85
180778,2007,1,0.917
180778,2008,1,0.96
180778,2009,1,0.819
180778,2010,1,0.827
180778,2011,24,0.606
180778,2012,24,0.808
180778,2013,1,0.788
180778,2014,24,0.821
180778,2015,1,0.78
180778,2016,24,0.985
180778,2017,1,0.974
180778,2018,1,0.807
180778,2019,24,0.969
180778,2020,1,0.965
180850,2006,61,0.841
180850,2007,24,0.86
180850,2008,1,0.993
180850,2009,1,0.994
180850,2010,1,0.993
180850,2011,24,0.987
180850,2012,1,0.98
180850,2013,24,0.987
180850,2014,1,0.965
180850,2015,24,0.976
180850,2016,4,0.886
180850,2017,61,0.954
180850,2018,24,0.988
180850,2019,1,0.979
180850,2020,24,0.973
180886,2006,61,0.794
180886,2007,24,0.887
180886,2008,61,0.88
180886,2009,24,0.914
180886,2010,1,0.917
180886,2011,61,0.895
180886,2012,24,0.925
180886,2013,61,0.875
180886,2014,24,0.918
180886,2015,4,0.893
180886,2016,1,0.929
180886,2017,1,0.919
180886,2018,1,0.848
180886,2019,1,0.976
180886,2020,1,0.973
347501,2006,1,0.49
347501,2007,1,0.499
347501,2008,1,0.487
347501,2008,4,0.487
347501,2009,1,0.785
347501,2010,1,0.495
347501,2011,1,0.743
347501,2012,1,0.664
347501,2013,1,0.606
347501,2014,1,0.962
347501,2015,1,0.514
347501,2016,1,0.565
347501,2017,1,0.986
347501,2018,1,0.509
347501,2019,1,0.944
347501,2020,1,0.525
347502,2006,520,0.944
347502,2007,520,0.87
347502,2008,520,0.905
347502,2009,520,0.902
347502,2010,520,0.939
347502,2011,520,0.856
347502,2012,520,0.952
347502,2013,520,0.915
347502,2014,520,0.964
347502,2015,520,0.934
347502,2016,520,0.934
347502,2017,520,0.934
347502,2018,520,0.934
347502,2019,520,0.934
347502,2020,520,0.934
347503,2006,520,0.446
347503,2007,1,0.584
347503,2008,4,0.651
347503,2009,61,0.669
347503,2010,24,0.792
347503,2011,1,0.756
347503,2012,61,0.646
347503,2013,24,0.846
347503,2014,4,0.663
347503,2015,1,0.739
347503,2016,1,0.751
347503,2017,28,0.72
347503,2018,1,0.733
347503,2019,1,0.835
347503,2020,1,0.804
347504,2006,61,0.666
347504,2007,520,0.874
347504,2008,520,0.854
347504,2009,520,0.745
347504,2010,520,0.797
347504,2011,520,0.731
347504,2012,520,0.869
347504,2013,520,0.838
347504,2014,520,0.838
347504,2015,520,0.824
347504,2016,520,0.824
347504,2017,520,0.731
347504,2018,520,0.731
347504,2019,520,0.692
347504,2020,520,0.754
347505,2006,61,0.695
347505,2007,24,0.413
347505,2008,1,0.975
347505,2009,1,0.97
347505,2010,61,0.714
347505,2011,24,0.757
347505,2012,1,0.959
347505,2013,4,0.832
347505,2014,61,0.369
347505,2014,520,0.369
347505,2015,24,0.83
347505,2016,1,0.995
347505,2017,4,0.78
347505,2018,61,0.765
347505,2019,24,0.723
347505,2020,1,0.893
347506,2006,1,0.543
347506,2007,1,0.585
347506,2008,1,0.855
347506,2009,1,0.941
347506,2010,1,0.871
347506,2011,1,1
347506,2012,1,0.958
347506,2013,1,0.973
347506,2014,61,0.864
347506,2015,24,0.938
347506,2016,1,0.868
347506,2017,1,0.989
347506,2018,1,0.959
347506,2019,24,0.647
347506,2020,24,0.618
347507,2006,61,0.612
347507,2007,24,0.619
347507,2008,1,0.864
347507,2009,61,0.785
347507,2010,24,0.89
347507,2011,1,0.931
347507,2012,1,0.786
347507,2013,61,0.787
347507,2014,24,0.777
347507,2015,1,0.873
347507,2016,1,0.854
347507,2017,1,0.873
347507,2018,61,0.88
347507,2019,24,0.905
347507,2020,1,0.899
347508,2006,24,0.898
347508,2007,61,0.767
347508,2008,24,0.946
347508,2009,61,0.95
347508,2010,24,0.949
347508,2011,61,0.854
347508,2012,24,0.551
347508,2013,61,0.795
347508,2014,24,0.507
347508,2015,61,0.419
347508,2016,61,0.538
347508,2017,24,0.555
347508,2018,61,0.421
347508,2019,24,0.533
347508,2020,24,0.546
347509,2006,1,0.74
347509,2007,61,0.792
347509,2008,24,0.868
347509,2009,1,0.992
347509,2010,61,0.959
347509,2011,24,0.994
347509,2012,1,0.943
347509,2013,61,0.933
347509,2014,24,0.985
347509,2015,1,0.966
347509,2016,61,0.934
347509,2017,24,0.989
347509,2018,1,0.997
347509,2019,1,0.972
347509,2020,1,0.986
347510,2006,1,0.763
347510,2007,520,0.708
347510,2008,1,0.891
347510,2009,24,0.563
347510,2010,1,0.807
347510,2011,24,0.464
347510,2012,1,0.876
347510,2013,24,0.723
347510,2014,1,0.854
347510,2015,24,0.71
347510,2016,1,0.914
347510,2017,24,0.933
347510,2018,1,0.943
347510,2019,24,0.904
347510,2020,1,0.92
347512,2006,520,0.6
347512,2007,1,0.951
347512,2008,1,0.969
347512,2009,61,0.631
347512,2010,520,0.398
347512,2011,1,0.946
347512,2012,1,0.483
347512,2013,24,0.753
347512,2014,1,0.81
347512,2015,61,0.662
347512,2016,24,0.709
347512,2017,1,0.852
347512,2018,61,0.744
347512,2019,24,0.784
347512,2020,1,0.878
347513,2006,520,0.539
347513,2007,520,0.66
347513,2008,520,0.881
347513,2009,520,0.912
347513,2010,520,0.742
347513,2011,520,0.935
347513,2012,520,0.855
347513,2013,520,0.868
347513,2014,520,0.92
347513,2015,520,0.878
347513,2016,520,0.878
347513,2017,520,0.876
347513,2018,520,0.876
347513,2019,520,0.874
347513,2020,520,0.87
347514,2006,520,0.552
347514,2007,1,0.711
347514,2008,1,0.813
347514,2009,1,0.92
347514,2010,4,0.433
347514,2011,1,0.863
347514,2012,4,0.739
347514,2013,24,0.912
347514,2014,4,0.814
347514,2015,4,0.776
347514,2016,4,0.574
347514,2017,4,0.874
347514,2018,4,0.629
347514,2019,4,0.684
347514,2020,61,0.556
347515,2006,61,0.564
347515,2007,1,0.914
347515,2008,4,0.971
347515,2009,61,0.972
347515,2010,24,0.957
347515,2011,1,0.979
347515,2012,1,0.948
347515,2013,5,0.824
347515,2014,24,0.978
347515,2015,1,0.969
347515,2016,1,0.971
347515,2017,1,0.937
347515,2018,1,0.967
347515,2019,1,0.959
347515,2020,24,0.979
347516,2006,1,0.745
347516,2007,1,0.981
347516,2008,1,0.989
347516,2009,1,0.939
347516,2010,1,0.985
347516,2011,1,0.901
347516,2012,1,0.911
347516,2013,1,0.921
347516,2014,1,0.816
347516,2015,1,0.83
347516,2016,1,0.892
347516,2017,1,0.98
347516,2018,1,0.961
347516,2019,1,0.981
347516,2020,1,0.972
347517,2006,61,0.871
347517,2007,24,0.707
347517,2008,61,0.909
347517,2009,24,0.884
347517,2010,61,0.844
347517,2011,24,0.916
347517,2012,61,0.941
347517,2013,24,0.927
347517,2014,61,0.883
347517,2015,24,0.916
347517,2016,4,0.76
347517,2017,61,0.94
347517,2018,24,0.959
347517,2019,61,0.885
347517,2020,24,0.886
347518,2006,1,0.492
347518,2007,1,0.782
347518,2008,1,0.931
347518,2009,1,0.907
347518,2010,1,0.933
347518,2011,1,0.943
347518,2012,1,0.918
347518,2013,1,0.95
347518,2014,1,0.926
347518,2015,4,0.407
347518,2016,1,0.428
347518,2017,24,0.495
347518,2018,1,0.48
347518,2019,1,0.615
347518,2020,4,0.455
347519,2006,1,1
347519,2007,1,0.865
347519,2008,520,0.522
347519,2009,1,0.79
347519,2010,5,1
347519,2011,1,0.709
347519,2012,1,1
347519,2013,1,0.975
347519,2014,24,0.66
347519,2015,24,0.912
347519,2016,1,0.888
347519,2017,1,0.991
347519,2018,1,0.838
347519,2019,1,1
347519,2020,1,1
347521,2006,24,0.764
347521,2007,1,0.798
347521,2008,61,0.947
347521,2009,24,0.912
347521,2010,1,0.965
347521,2011,61,0.939
347521,2012,24,0.943
347521,2013,1,0.972
347521,2014,61,0.964
347521,2015,24,0.964
347521,2016,1,0.978
347521,2017,61,0.952
347521,2018,24,0.958
347521,2019,1,0.967
347521,2020,61,0.954
347522,2006,1,0.825
347522,2007,1,0.829
347522,2008,1,0.943
347522,2009,4,0.868
347522,2010,1,0.954
347522,2011,24,0.922
347522,2012,1,0.982
347522,2013,4,0.948
347522,2014,1,0.907
347522,2015,24,0.826
347522,2016,1,0.974
347522,2017,61,0.933
347522,2018,24,0.979
347522,2019,1,0.556
347522,2020,61,0.499
347523,2006,520,0.766
347523,2007,520,0.999
347523,2008,520,0.977
347523,2009,520,1
347523,2010,520,0.998
347523,2011,520,1
347523,2012,520,1
347523,2013,520,1
347523,2014,520,1
347523,2015,520,1
347523,2016,520,0.982
347523,2017,520,0.982
347523,2018,520,1
347523,2019,520,0.979
347523,2020,520,0.979
347524,2006,1,0.599
347524,2007,61,0.356
347524,2008,24,0.718
347524,2009,1,0.85
347524,2010,61,0.405
347524,2011,24,0.732
347524,2012,1,0.92
347524,2013,61,0.696
347524,2014,24,0.828
347524,2015,1,0.915
347524,2016,61,0.796
347524,2017,24,0.792
347524,2018,4,0.938
347524,2019,28,0.733
347524,2020,4,0.727
347525,2006,520,1
347525,2007,520,0.629
347525,2008,520,0.528
347525,2009,520,0.528
347525,2010,520,0.574
347525,2011,520,0.423
347525,2012,520,0.666
347525,2013,520,0.528
347525,2014,520,0.528
347525,2015,540,0.623
347525,2016,540,0.573
347525,2017,520,0.528
347525,2018,540,0.573
347525,2019,1,0.286
347525,2020,61,0.286
347526,2006,1,0.677
347526,2007,1,0.9
347526,2008,61,0.758
347526,2009,1,0.885
347526,2010,61,0.495
347526,2011,1,0.999
347526,2012,1,0.57
347526,2013,24,0.989
347526,2014,1,0.951
347526,2015,24,0.464
347526,2016,24,0.752
347526,2017,1,0.685
347526,2018,61,0.763
347526,2019,24,0.791
347526,2020,1,1
347528,2006,1,0.832
347528,2007,61,0.818
347528,2008,24,0.903
347528,2009,1,0.943
347528,2010,61,0.95
347528,2011,24,0.949
347528,2012,1,0.938
347528,2013,61,0.919
347528,2014,24,0.954
347528,2015,61,0.933
347528,2016,24,0.952
347528,2017,24,0.948
347528,2018,1,0.957
347528,2019,1,0.937
347528,2020,24,0.96
347529,2006,1,0.968
347529,2007,1,0.873
347529,2008,1,0.992
347529,2009,1,0.998
347529,2010,1,0.996
347529,2011,1,0.989
347529,2012,1,0.998
347529,2013,1,0.509
347529,2014,1,0.616
347529,2015,4,0.599
347529,2016,24,0.479
347529,2017,1,0.507
347529,2018,1,0.528
347529,2019,1,0.998
347529,2020,1,0.997
347530,2006,510,0.37
347530,2007,520,0.47
347530,2008,510,0.656
347530,2009,510,0.792
347530,2010,520,0.53
347530,2011,510,0.715
347530,2012,510,0.612
347530,2013,510,0.704
347530,2014,520,0.556
347530,2015,510,0.612
347530,2016,61,0.732
347530,2017,24,0.68
347530,2018,4,0.646
347530,2019,4,0.691
347530,2020,510,0.705
347531,2006,520,0.824
347531,2007,1,0.429
347531,2008,520,0.862
347531,2009,520,0.873
347531,2010,1,0.57
347531,2011,520,0.633
347531,2012,520,0.753
347531,2013,520,0.736
347531,2014,520,0.9
347531,2015,520,0.685
347531,2016,520,0.685
347531,2017,520,0.685
347531,2018,520,0.685
347531,2019,520,0.632
347531,2020,520,0.632
347534,2006,1,0.867
347534,2007,4,0.666
347534,2008,61,0.95
347534,2009,24,0.932
347534,2010,1,0.963
347534,2011,61,0.96
347534,2012,24,0.967
347534,2013,1,0.974
347534,2014,61,0.951
347534,2015,24,0.978
347534,2016,4,0.955
347534,2017,61,0.963
347534,2018,24,0.976
347534,2019,4,0.915
347534,2020,61,0.921
347535,2006,510,0.794
347535,2007,510,0.839
347535,2008,510,0.932
347535,2009,510,0.93
347535,2010,510,0.834
347535,2011,510,0.835
347535,2012,510,0.903
347535,2013,510,0.893
347535,2014,510,0.753
347535,2015,510,0.878
347535,2016,61,0.774
347535,2017,24,0.828
347535,2018,510,0.743
347535,2019,24,0.893
347535,2020,4,0.878
347536,2006,1,0.926
347536,2007,1,0.947
347536,2008,24,0.857
347536,2009,1,0.965
347536,2010,1,0.543
347536,2011,1,0.525
347536,2012,1,0.953
347536,2013,1,0.501
347536,2014,1,0.471
347536,2015,24,0.484
347536,2016,1,0.815
347536,2017,1,0.974
347536,2018,4,0.976
347536,2019,1,0.988
347536,2020,1,0.974
347537,2006,24,0.936
347537,2007,520,0.965
347537,2008,1,0.519
347537,2009,24,0.932
347537,2010,1,0.791
347537,2011,61,0.911
347537,2012,24,0.95
347537,2013,1,0.89
347537,2014,61,0.88
347537,2015,24,0.951
347537,2016,1,0.971
347537,2017,61,0.95
347537,2018,24,0.929
347537,2019,1,0.954
347537,2020,1,1
347539,2006,520,0.611
347539,2007,520,0.397
347539,2008,510,0.566
347539,2009,510,0.723
347539,2010,510,0.431
347539,2011,510,0.745
347539,2012,520,0.823
347539,2013,510,0.723
347539,2014,520,0.442
347539,2015,510,0.674
347539,2016,510,0.674
347539,2017,510,0.698
347539,2018,510,0.698
347539,2019,510,0.744
347539,2020,510,0.723
347540,2006,61,0.571
347540,2007,520,0.848
347540,2008,520,0.691
347540,2009,520,0.68
347540,2010,520,0.724
347540,2011,520,0.83
347540,2012,520,0.761
347540,2013,520,0.827
347540,2014,520,0.842
347540,2015,520,0.786
347540,2016,520,0.786
347540,2017,520,0.786
347540,2018,520,0.786
347540,2019,520,0.786
347540,2020,520,0.786
347541,2006,520,0.939
347541,2007,520,0.902
347541,2008,520,0.911
347541,2009,520,0.924
347541,2010,520,0.901
347541,2011,520,0.944
347541,2012,520,0.902
347541,2013,520,0.922
347541,2014,520,0.929
347541,2015,520,0.922
347541,2016,520,0.922
347541,2017,520,0.922
347541,2018,520,0.922
347541,2019,520,0.904
347541,2020,520,0.904
347542,2006,61,0.777
347542,2007,24,0.553
347542,2008,4,0.76
347542,2009,61,0.749
347542,2010,24,0.775
347542,2011,1,0.908
347542,2012,4,0.757
347542,2013,1,0.845
347542,2014,4,0.728
347542,2015,61,0.797
347542,2016,24,0.789
347542,2017,61,0.956
347542,2018,1,0.808
347542,2019,1,0.919
347542,2020,61,0.92
347543,2006,61,0.303
347543,2007,520,0.519
347543,2008,1,0.978
347543,2009,61,0.749
347543,2010,24,0.795
347543,2011,1,0.986
347543,2012,1,0.964
347543,2013,5,0.281
347543,2014,1,0.756
347543,2015,1,0.742
347543,2016,24,0.469
347543,2017,1,0.732
347543,2018,1,0.763
347543,2019,5,0.576
347543,2020,1,0.858
347548,2006,1,0.778
347548,2007,1,0.881
347548,2008,520,0.431
347548,2009,1,0.974
347548,2010,1,1
347548,2011,24,0.732
347548,2012,1,0.846
347548,2013,1,0.659
347548,2014,24,0.766
347548,2015,1,0.875
347548,2016,24,0.707
347548,2017,1,0.962
347548,2018,1,0.99
347548,2019,1,0.956
347548,2020,1,0.961
347549,2006,61,0.724
347549,2007,24,0.818
347549,2008,1,0.913
347549,2009,1,0.889
347549,2010,1,0.862
347549,2011,1,0.877
347549,2012,61,0.617
347549,2013,4,0.914
347549,2014,4,0.731
347549,2015,4,0.903
347549,2016,4,0.905
347549,2017,1,0.874
347549,2018,4,0.903
347549,2019,1,0.939
347549,2020,61,0.612
347550,2006,1,0.766
347550,2007,520,0.78
347550,2008,5,0.805
347550,2009,61,0.97
347550,2010,24,1
347550,2011,1,1
347550,2012,61,0.918
347550,2013,24,0.972
347550,2014,1,0.918
347550,2015,61,0.997
347550,2016,24,0.997
347550,2017,1,0.997
347550,2018,61,0.997
347550,2019,24,0.997
347550,2020,1,0.997
347551,2006,24,0.887
347551,2007,61,0.508
347551,2008,24,0.912
347551,2009,1,0.974
347551,2010,1,0.986
347551,2011,61,0.983
347551,2012,24,0.986
347551,2013,1,0.986
347551,2014,1,0.986
347551,2015,1,0.986
347551,2016,24,0.986
347551,2017,1,0.986
347551,2018,1,0.986
347551,2019,24,0.981
347551,2020,1,0.981
347552,2006,4,0.694
347552,2007,1,0.42
347552,2008,4,0.556
347552,2009,520,0.381
347552,2010,1,0.806
347552,2011,1,0.723
347552,2012,1,0.859
347552,2013,24,0.9
347552,2014,4,0.778
347552,2015,4,0.813
347552,2016,4,0.783
347552,2017,4,0.91
347552,2018,28,0.683
347552,2019,205,0.696
347552,2020,61,0.712
347553,2006,1,0.813
347553,2007,1,0.534
347553,2008,4,0.51
347553,2009,1,0.954
347553,2010,1,0.969
347553,2011,1,0.973
347553,2012,1,0.966
347553,2013,1,0.925
347553,2014,1,0.894
347553,2015,1,0.936
347553,2016,1,0.975
347553,2017,1,0.967
347553,2018,1,0.973
347553,2019,1,0.976
347553,2020,1,0.976
347557,2006,520,0.763
347557,2007,520,0.569
347557,2008,4,0.607
347557,2009,61,0.569
347557,2010,520,0.595
347557,2011,4,0.698
347557,2012,1,0.606
347557,2013,24,0.642
347557,2014,520,0.581
347557,2015,61,0.612
347557,2016,24,0.689
347557,2017,4,0.647
347557,2018,61,0.689
347557,2019,24,0.638
347557,2020,1,0.638
347558,2006,520,0.467
347558,2007,520,0.857
347558,2008,520,0.683
347558,2009,520,0.799
347558,2010,520,0.773
347558,2011,520,0.877
347558,2012,24,0.502
347558,2013,520,0.715
347558,2014,520,0.833
347558,2015,1,0.556
347558,2016,1,0.943
347558,2017,1,0.856
347558,2018,1,0.817
347558,2019,1,0.825
347558,2020,1,0.943
347562,2006,1,0.62
347562,2007,61,0.6
347562,2008,24,0.659
347562,2009,1,0.731
347562,2010,5,0.607
347562,2011,1,0.677
347562,2012,1,0.507
347562,2013,4,0.512
347562,2014,1,0.528
347562,2015,1,0.512
347562,2016,1,0.549
347562,2017,1,0.581
347562,2018,61,0.548
347562,2019,24,0.589
347562,2020,1,0.622
347563,2006,520,0.668
347563,2007,520,0.68
347563,2008,24,0.799
347563,2009,24,0.838
347563,2010,520,1
347563,2011,520,0.788
347563,2012,24,0.738
347563,2013,520,0.603
347563,2014,520,0.926
347563,2015,520,0.778
347563,2016,520,0.667
347563,2017,520,0.518
347563,2018,520,0.518
347563,2019,520,0.419
347563,2020,4,0.663
347564,2006,61,0.902
347564,2007,24,0.912
347564,2008,1,0.966
347564,2009,4,0.91
347564,2010,1,0.982
347564,2011,1,0.964
347564,2012,61,0.942
347564,2013,24,0.983
347564,2014,1,0.964
347564,2015,61,0.988
347564,2016,24,0.99
347564,2017,1,0.991
347564,2018,1,0.959
347564,2019,1,0.981
347564,2020,1,0.975
347565,2006,1,0.882
347565,2007,1,0.9
347565,2008,1,0.995
347565,2009,1,0.96
347565,2010,1,0.998
347565,2011,1,0.965
347565,2012,1,0.95
347565,2013,1,0.967
347565,2014,1,0.96
347565,2015,1,0.933
347565,2016,1,0.988
347565,2017,5,0.764
347565,2018,1,0.967
347565,2019,1,0.99
347565,2020,5,0.804
347566,2006,61,0.725
347566,2007,24,0.534
347566,2008,4,0.618
347566,2009,61,0.881
347566,2010,24,0.808
347566,2011,1,0.841
347566,2012,4,0.838
347566,2013,1,0.504
347566,2014,61,0.914
347566,2015,24,0.915
347566,2016,4,0.921
347566,2017,28,0.866
347566,2018,205,0.881
347566,2019,4,0.909
347566,2020,1,0.698
347568,2006,520,0.915
347568,2007,520,0.759
347568,2008,520,0.874
347568,2009,520,0.946
347568,2010,520,0.668
347568,2011,520,0.848
347568,2012,520,0.646
347568,2013,520,0.79
347568,2014,520,0.969
347568,2015,520,0.857
347568,2016,520,0.868
347568,2017,520,0.857
347568,2018,520,0.857
347568,2019,520,0.822
347568,2020,520,0.833
347569,2006,520,0.35
347569,2007,510,0.46
347569,2008,1,0.896
347569,2009,61,0.639
347569,2010,1,0.894
347569,2011,24,0.625
347569,2012,1,0.463
347569,2013,4,0.55
347569,2014,4,0.831
347569,2015,61,0.642
347569,2016,1,0.964
347569,2017,1,0.733
347569,2018,5,0.504
347569,2019,1,0.892
347569,2020,1,0.935
347571,2006,61,0.897
347571,2007,24,0.833
347571,2008,61,0.924
347571,2009,24,0.963
347571,2010,61,0.907
347571,2011,24,0.897
347571,2012,61,0.445
347571,2013,24,0.958
347571,2014,1,0.585
347571,2015,61,0.652
347571,2016,24,0.672
347571,2017,4,0.675
347571,2018,1,0.66
347571,2019,1,0.971
347571,2020,1,0.953
347574,2006,520,0.877
347574,2007,520,0.993
347574,2008,520,0.868
347574,2009,520,0.907
347574,2010,520,0.944
347574,2011,520,0.997
347574,2012,520,0.998
347574,2013,520,0.972
347574,2014,520,0.971
347574,2015,520,0.93
347574,2016,520,0.971
347574,2017,520,0.971
347574,2018,520,0.93
347574,2019,520,0.93
347574,2020,520,0.93
347576,2006,520,1
347576,2007,520,1
347576,2008,520,0.593
347576,2009,520,0.742
347576,2010,520,0.742
347576,2011,520,0.742
347576,2012,520,0.352
347576,2013,520,0.742
347576,2014,520,0.742
347576,2015,520,0.742
347576,2016,520,0.742
347576,2017,520,0.742
347576,2018,520,0.742
347576,2019,520,0.501
347576,2020,520,0.501
347577,2006,61,0.531
347577,2007,1,0.468
347577,2008,61,0.709
347577,2009,24,0.891
347577,2010,1,0.969
347577,2011,1,0.759
347577,2012,1,0.778
347577,2013,1,0.944
347577,2014,61,0.501
347577,2015,1,0.91
347577,2016,1,0.769
347577,2017,61,0.633
347577,2018,24,0.774
347577,2019,1,0.93
347577,2020,1,0.964
347579,2006,520,0.605
347579,2007,520,0.963
347579,2008,520,0.95
347579,2009,520,0.941
347579,2010,520,0.823
347579,2011,520,0.894
347579,2012,520,0.917
347579,2013,520,0.937
347579,2014,520,0.92
347579,2015,520,0.906
347579,2016,520,0.893
347579,2017,520,0.908
347579,2018,520,0.896
347579,2019,520,0.866
347579,2020,520,0.866
347580,2006,1,0.796
347580,2007,61,0.859
347580,2008,24,0.854
347580,2009,1,0.913
347580,2010,61,0.955
347580,2011,24,0.981
347580,2012,1,0.941
347580,2013,61,0.953
347580,2014,24,0.963
347580,2015,1,0.951
347580,2016,61,0.962
347580,2017,24,0.975
347580,2018,1,0.964
347580,2019,61,0.95
347580,2020,24,0.97
347581,2006,520,0.38
347581,2007,1,0.67
347581,2008,1,0.423
347581,2009,510,0.825
347581,2010,510,0.803
347581,2011,510,0.817
347581,2012,510,0.816
347581,2013,1,0.698
347581,2014,1,0.753
347581,2015,1,0.8
347581,2016,1,0.797
347581,2017,1,0.809
347581,2018,28,0.754
347581,2019,1,0.922
347581,2020,1,0.922
347583,2006,520,0.966
347583,2007,520,0.978
347583,2008,520,0.952
347583,2009,520,0.974
347583,2010,520,0.985
347583,2011,520,0.974
347583,2012,520,0.979
347583,2013,520,0.978
347583,2014,520,0.979
347583,2015,520,0.974
347583,2016,520,0.974
347583,2017,520,0.974
347583,2018,520,0.972
347583,2019,520,0.989
347583,2020,520,0.989
347585,2006,61,0.459
347585,2007,520,0.553
347585,2008,1,0.841
347585,2009,61,0.589
347585,2010,24,0.805
347585,2011,1,0.821
347585,2012,1,0.574
347585,2013,1,0.794
347585,2014,520,0.759
347585,2015,24,0.879
347585,2016,1,0.879
347585,2017,4,0.848
347585,2018,4,0.848
347585,2019,61,0.586
347585,2020,4,0.261
347587,2006,1,0.841
347587,2007,4,0.783
347587,2008,4,0.949
347587,2009,1,0.887
347587,2010,1,0.983
347587,2011,1,0.983
347587,2012,1,0.966
347587,2013,4,0.983
347587,2014,28,0.608
347587,2015,24,0.983
347587,2016,1,0.981
347587,2017,1,0.983
347587,2018,1,0.983
347587,2019,1,0.957
347587,2020,1,0.957
347588,2006,5,0.468
347588,2007,1,0.959
347588,2008,5,0.966
347588,2009,1,0.998
347588,2010,5,0.99
347588,2011,1,0.999
347588,2012,5,0.632
347588,2013,1,0.983
347588,2014,5,0.803
347588,2015,1,0.996
347588,2016,4,0.886
347588,2017,1,0.987
347588,2018,5,0.951
347588,2019,1,0.984
347588,2020,5,0.76
347589,2006,1,1
347589,2007,520,0.708
347589,2008,1,0.681
347589,2009,520,0.549
347589,2010,1,1
347589,2011,1,0.904
347589,2012,520,0.514
347589,2013,1,0.56
347589,2014,1,0.904
347589,2015,61,0.706
347589,2016,24,0.877
347589,2017,1,0.994
347589,2018,1,0.904
